MISC,count_flair_1,count_flair_2,count
Euro,5.0,12.0,17
Dyson,7.0,3.0,10
QX6,2.0,1.0,3
Cent,0.0,2.0,2
Dyson V15 detect,0.0,1.0,1
Kobold VB100,0.0,1.0,1
Marktcheck,0.0,1.0,1
Preiswert,0.0,1.0,1
Ukraine-Krieg,0.0,1.0,1
V15 detect,1.0,0.0,1
VB100,1.0,0.0,1
nützlich,0.0,1.0,1
