0,1,2,3,4
Zehn-Minuten-Dusche,,,,
Dreipersonenhaushalt,,,,
Grundig,,,,
AEG,,,,
Bosch,,,,
TÜV,Süd,.,,
Bosch,,,,
Grundig,,,,
AEG,,,,
AEG,,,,
AEG,,,,
Dyson,,,,
Bosch,,,,
AEG,,,,
Mieterverein,Stuttgart,,,
Instituts,für,Kinderernährung,,
Bundesministerium,für,Ernährung,und,Landwirtschaft
WHO,,,,
Verbraucherzentrale,Baden-Württemberg,,,
Europäische,Kommission,,,
Bundesministerium,für,Ernährung,und,Landwirtschaft
EU-Kommission,,,,
SWR,Fernsehen,.,,
